#OG_name	Apoc_proteins.faa	Nvec_proteins.faa	Ahya_proteins.faa
OG_1024	7	3	1
OG_1025	5	3	0
OG_1026	1	0	6
OG_1027	1	7	0
OG_1028	1	0	3
OG_1029	4	0	4
OG_1030	10	1	16
OG_1031	9	1	6
OG_1032	4	3	9
OG_1033	6	9	2
OG_1034	13	9	9
OG_1035	3	5	0
OG_1036	15	4	3
OG_1037	4	1	1
OG_1038	5	10	4
OG_1039	12	0	10
OG_1040	4	5	4
OG_1041	8	1	14
OG_1042	4	5	2
OG_1043	9	0	1
OG_1044	8	3	1
OG_1045	6	2	2
OG_1046	1	8	2
OG_1047	8	0	10
OG_1048	2	1	9
OG_1049	8	16	11
OG_1050	2	1	13
OG_1051	9	32	19
OG_1052	6	1	12
OG_1053	9	1	9
OG_1054	6	1	1
OG_1055	1	0	9
OG_1056	23	17	12
OG_1057	14	15	2
OG_1058	9	3	0
OG_1059	4	8	0
OG_1060	5	2	0
OG_1061	3	0	5
OG_1062	2	1	2
OG_1063	1	0	3
OG_1064	8	0	2
OG_1065	8	3	1
OG_1066	16	0	23
OG_1067	11	1	3
OG_1068	2	2	0
OG_1069	1	14	0
OG_1070	4	2	2
OG_1071	2	1	4
OG_1072	15	2	2
OG_1073	6	1	0
OG_1074	7	0	9
OG_1075	4	0	2
OG_1076	3	12	5
OG_1077	12	0	3
OG_1078	6	0	1
OG_1079	8	1	8
OG_1080	7	0	3
OG_1081	2	1	3
OG_1082	5	3	0
OG_1083	4	20	7
OG_1084	1	0	8
OG_1085	2	1	3
OG_1086	5	1	10
OG_1087	5	0	8
OG_1088	1	1	3
OG_1089	1	1	2
OG_1090	5	0	12
OG_1091	8	6	3
OG_1092	5	1	1
OG_1093	9	23	8
OG_1094	2	20	1
OG_1095	7	1	0
OG_1096	5	0	2
OG_1097	14	0	5
OG_1098	27	0	18
OG_1099	21	7	13
OG_1100	9	0	4
OG_1101	5	0	7
OG_1102	15	7	0
OG_1103	15	1	6
OG_1104	27	1	0
OG_1105	4	3	5
OG_1106	9	10	1
OG_1107	2	0	4
OG_1108	1	1	4
OG_1109	2	0	4
OG_1110	1	0	14
OG_1111	2	1	4
OG_1112	4	0	7
OG_1113	5	4	2
OG_1114	5	28	4
OG_1115	43	1	5
OG_1116	5	0	1
OG_1117	4	3	7
OG_1118	2	0	5
OG_1119	2	0	6
OG_1120	7	8	13
OG_1121	3	0	14
OG_1122	2	0	2
OG_1123	4	0	9
OG_1124	7	1	4
OG_1125	4	26	0
OG_1126	1	5	9
OG_1127	3	1	1
OG_1128	8	0	2
OG_1129	1	0	1
OG_1130	2	0	1
OG_1131	4	11	0
OG_1132	2	1	4
OG_1133	1	3	0
OG_1134	2	0	2
OG_1135	1	0	11
OG_1136	2	0	3
OG_1137	4	0	6
OG_1138	12	3	3
OG_1139	5	7	0
OG_1140	6	2	3
OG_1141	5	1	0
OG_1142	7	4	0
OG_1143	2	1	2
OG_1144	3	1	4
OG_1145	1	5	1
OG_1146	10	2	2
OG_1147	3	3	1
OG_1148	4	1	0
OG_1149	1	6	2
OG_1150	2	3	2
OG_1151	2	0	1
OG_1152	2	6	4
OG_1153	2	0	1
OG_1154	2	0	1
OG_1155	6	2	1
OG_1156	2	4	2
OG_1157	5	0	1
OG_1158	2	1	3
OG_1159	2	0	2
OG_1160	3	1	0
OG_1161	1	4	0
OG_1162	11	5	4
OG_1163	4	2	0
OG_1164	1	2	1
OG_1165	5	13	3
OG_1166	1	1	1
OG_1167	2	1	7
OG_1168	4	1	8
OG_1169	5	1	2
OG_1170	2	1	1
OG_1171	2	0	1
OG_1172	2	1	2
OG_1173	2	0	1
OG_1174	1	0	3
OG_1175	1	0	2
OG_1176	10	0	9
OG_1177	12	0	4
OG_1178	2	0	7
OG_1179	1	2	1
OG_1180	1	1	6
OG_1181	0	2	4
OG_1182	2	1	4
OG_1183	10	4	1
OG_1184	3	2	0
OG_1185	5	1	3
OG_1186	2	0	16
OG_1187	1	1	4
OG_1188	1	0	2
OG_1189	1	0	3
OG_1190	7	16	7
OG_1191	2	1	2
OG_1192	2	3	0
OG_1193	6	1	3
OG_1194	2	0	5
OG_1195	1	0	4
OG_1196	1	2	1
OG_1197	1	1	3
OG_1198	2	1	1
OG_1199	1	0	3
OG_1200	1	2	2
OG_1201	1	1	3
OG_1202	4	0	3
OG_1203	2	2	4
OG_1204	2	2	1
OG_1205	2	0	5
OG_1206	1	1	1
OG_1207	2	0	2
OG_1208	2	0	3
OG_1209	6	0	1
OG_1210	4	1	1
OG_1211	5	0	2
OG_1212	4	0	2
OG_1213	2	0	3
OG_1214	4	0	1
OG_1215	2	3	2
OG_1216	3	0	1
OG_1217	3	0	1
OG_1218	3	0	7
OG_1219	0	1	2
OG_1220	2	2	1
OG_1221	0	2	1
OG_1222	1	1	2
OG_1223	1	4	1
OG_1224	1	1	2
OG_1225	2	1	0
OG_1226	1	2	3
OG_1227	1	2	0
OG_1228	1	2	2
OG_1229	2	0	3
OG_1230	2	0	1
OG_1231	1	0	2
OG_1232	3	4	1
OG_1233	1	0	2
OG_1234	1	3	2
OG_1235	2	0	3
